version,iter,trend_y_true,trend_y_truesecond,trend_y_hat,trend_yera_hat
EC-Earth3-Veg,36,1.9630127,2.3085327,1.0701294,1.1474304
EC-Earth3-Veg,37,1.3091736,1.8569946,0.35775757,0.8161621
EC-Earth3-Veg,38,5.1868896,4.740326,5.5758667,4.5759277
EC-Earth3-Veg,39,4.454315,3.8907166,4.586914,3.5634155
EC-Earth3-Veg,40,4.0573425,3.9251099,3.452423,3.8175964
EC-Earth3-Veg,41,1.2116089,1.5400696,0.39266968,0.88671875
EC-Earth3-Veg,42,4.2645264,3.7525635,4.2390137,3.8646545
EC-Earth3-Veg,43,1.916748,1.9906921,1.4160461,1.3117981
EC-Earth3-Veg,44,4.3836975,4.9667053,4.157501,3.829193
EC-Earth3-Veg,45,1.8675842,2.3474731,0.8331909,1.5283813
EC-Earth3-Veg,46,5.2762756,5.2348022,5.411621,4.731842
EC-Earth3-Veg,47,4.645172,5.163086,4.697418,4.5567627
EC-Earth3-Veg,48,2.0019531,1.7533875,0.8783264,1.3951416
EC-Earth3-Veg,49,4.100525,4.096283,3.554596,3.8360596
