driving_model,scenario,is_test,file_glob,source,members_used
EC-Earth3-Veg-LR,ssp126,False,data_DAT_EC-Earth3-Veg-LR_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
FGOALS-g3,ssp126,False,data_DAT_FGOALS-g3_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-CM4,ssp126,False,data_DAT_GFDL-CM4_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GFDL-ESM4,ssp126,False,data_DAT_GFDL-ESM4_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-G,ssp126,False,data_DAT_GISS-E2-1-G_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-1-H,ssp126,False,data_DAT_GISS-E2-1-H_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
GISS-E2-2-G,ssp126,False,data_DAT_GISS-E2-2-G_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-LL,ssp126,False,data_DAT_HadGEM3-GC31-LL_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
HadGEM3-GC31-MM,ssp126,False,data_DAT_HadGEM3-GC31-MM_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM4-8,ssp126,False,data_DAT_INM-CM4-8_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
INM-CM5-0,ssp126,False,data_DAT_INM-CM5-0_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
IPSL-CM6A-LR,ssp126,False,data_DAT_IPSL-CM6A-LR_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC-ES2L,ssp126,False,data_DAT_MIROC-ES2L_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
MIROC6,ssp126,False,data_DAT_MIROC6_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
UKESM1-0-LL,ssp126,False,data_DAT_UKESM1-0-LL_ssp126_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-CM2,ssp370,False,data_DAT_ACCESS-CM2_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
ACCESS-ESM1-5,ssp370,False,data_DAT_ACCESS-ESM1-5_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
CanESM5,ssp370,False,data_DAT_CanESM5_ssp370_*.h5,"CMIP6 ESGF (driving ESM) regridded 1deg->HEALPix nside64, affine-normalized",<=1 (--max-files 1)
